id,nome,data_nascita,nazionalita
0,Tammy Gomez,1960-01-27,36
1,Jeremy Pierce,1941-06-01,50
2,Michelle Jones,1965-04-06,7
3,Jane Mcclure,1983-09-05,92
4,Tina Schwartz,2001-11-03,39
5,Robert Holmes,1940-09-28,25
6,Randy Marsh,2000-03-12,29
7,Charles Patterson,2003-10-18,15
8,Eric Freeman,1977-09-16,82
9,Debra Rangel,1990-08-27,57
10,Kaitlyn Wiggins,1954-10-18,87
11,Jeffrey Ramos,1941-02-03,53
12,Christopher Soto,1969-04-25,101
13,James Robinson,2003-02-06,44
14,Daniel Ramsey,1988-03-25,83
15,Kelly Reed,1958-01-13,88
16,Sarah Smith,1981-06-05,21
17,Cynthia Hines,1988-05-23,6
18,Javier Hahn,2002-07-28,75
19,Kevin Johnston,1997-12-25,77
20,Kevin Smith,1948-10-17,70
21,Jodi Gates,1965-04-29,76
22,Daniel Reynolds,1947-03-06,61
23,Cassandra Thompson,1941-11-05,78
24,Michelle Buchanan,1963-03-30,35
25,Kayla Johnson,1968-07-03,54
26,Alyssa Romero,1969-05-19,86
27,Alicia Williams,1997-06-30,22
28,Paul Ware,1963-05-26,103
29,Katherine Brown,1972-02-04,23
30,Jimmy Baker,1988-10-23,51
31,Emily English,1971-10-04,92
32,Erika Fuller,1959-11-30,15
33,Melody Delgado,2000-01-04,61
34,Jessica Graham,1978-02-22,82
35,Sheila Friedman,1942-11-19,31
36,Morgan Hudson,1977-08-25,102
37,Dr. Amanda Solis,1992-03-08,63
38,Jennifer Peters,2002-06-09,78
39,Kevin Beltran,1957-11-15,92
40,Ariel Davis,2001-10-19,30
41,Scott Jones,1976-12-16,0
42,Sandra Olson,1942-05-23,36
43,Lance Deleon,1933-06-06,13
44,Kevin Robinson,1992-09-08,46
45,Cassidy Berry,1968-04-25,40
46,Megan Riley,1986-06-13,8
47,Timothy Johnson,1977-12-02,97
48,Grace Lewis,2002-07-31,46
49,Taylor Parsons,1934-04-16,38
50,Alexis Evans,1979-01-06,77
51,Lorraine Reynolds,1934-06-16,72
52,Brandon Miller,1977-07-20,10
53,Henry Davis,1949-08-04,80
54,Ian Garner,1945-02-14,58
55,Keith Johnson,1978-03-27,54
56,Katherine Miller,1991-04-04,103
57,Sara Fisher,1974-11-08,87
58,Christopher Trevino,1963-03-15,35
59,Carolyn Reynolds,1999-12-27,77
60,Jamie Wade,1984-06-23,98
61,Donald Thomas,1949-11-20,9
62,Melissa Berg,1967-07-21,81
63,Danielle Jackson,1993-12-26,84
64,Jason Delacruz,1979-05-02,9
65,Phyllis Cobb,2000-12-26,16
66,Louis Lopez,1984-10-13,100
67,Megan Lang,1975-01-14,50
68,Kristina Cruz MD,1992-08-23,46
69,Amy Munoz,1977-07-11,49
70,Richard Faulkner,1944-11-25,50
71,Jacob Simmons,1984-11-30,101
72,Jennifer Campbell,1955-01-26,18
73,Ian Romero,1956-11-30,30
74,Keith Willis,1950-01-18,100
75,Eric Watson,1966-07-31,63
76,Justin Oneal,1948-11-09,52
77,Rita Le,1966-02-23,50
78,Jerry Malone,1993-05-02,68
79,Joseph Garrison,1938-07-06,2
